Timestamp for sample frequency every 1 min,Temperature (°C),Relative Humidity (%)
2025-09-12 01:21:00,13.7825,83.6075
2025-09-12 01:22:00,13.8000,83.6725
2025-09-12 01:23:00,13.8150,83.6400
2025-09-12 01:24:00,13.8125,83.6575
2025-09-12 01:25:00,13.8025,83.5625
2025-09-12 01:26:00,13.8050,83.7325
2025-09-12 01:27:00,13.8000,83.4400
2025-09-12 01:28:00,13.7800,83.7600
2025-09-12 01:29:00,13.7850,83.6000
2025-09-12 01:30:00,13.7650,83.7425
2025-09-12 01:31:00,13.7625,83.6300
2025-09-12 01:32:00,13.7425,83.6750
2025-09-12 01:33:00,13.7575,83.6150
2025-09-12 01:34:00,13.7475,83.6475
2025-09-12 01:35:00,13.7625,83.4650
2025-09-12 01:36:00,13.7400,83.5525
2025-09-12 01:37:00,13.7650,83.6375
2025-09-12 01:38:00,13.7750,83.5725
2025-09-12 01:39:00,13.7500,83.4075
2025-09-12 01:40:00,13.7875,83.4800
2025-09-12 01:41:00,13.7650,83.5100
2025-09-12 01:42:00,13.7800,83.5975
2025-09-12 01:43:00,13.7650,83.4400
2025-09-12 01:44:00,13.7800,83.5250
2025-09-12 01:45:00,13.7775,83.5250
2025-09-12 01:46:00,13.7750,83.5075
2025-09-12 01:47:00,13.7575,83.5250
2025-09-12 01:48:00,13.7750,83.5750
2025-09-12 01:49:00,13.7625,83.5825
2025-09-12 01:50:00,13.7650,83.3525
2025-09-12 01:51:00,13.7750,83.6075
2025-09-12 01:52:00,13.7625,83.5575
2025-09-12 01:53:00,13.7675,83.4800
2025-09-12 01:54:00,13.7625,83.5775
2025-09-12 01:55:00,13.7625,83.7200
2025-09-12 01:56:00,13.7775,83.7700
2025-09-12 01:57:00,13.7975,83.8900
2025-09-12 01:58:00,13.8175,83.6250
2025-09-12 01:59:00,13.8200,83.7750
2025-09-12 02:00:00,13.8300,83.6375
2025-09-12 02:01:00,13.8025,83.6675
2025-09-12 02:02:00,13.7850,83.7050
2025-09-12 02:03:00,13.7925,83.7375
2025-09-12 02:04:00,13.7900,83.8450
