Timestamp for sample frequency every 1 min,Temperature (°C),Relative Humidity (%)
2025-09-04 03:07:00,13.2350,84.0825
2025-09-04 03:08:00,13.2300,84.2100
2025-09-04 03:09:00,13.2425,84.3200
2025-09-04 03:10:00,13.2450,84.2300
2025-09-04 03:11:00,13.2350,84.4175
2025-09-04 03:12:00,13.2125,84.7350
2025-09-04 03:13:00,13.2350,84.1675
2025-09-04 03:14:00,13.2450,84.4825
2025-09-04 03:15:00,13.2525,84.3475
2025-09-04 03:16:00,13.2325,84.0675
2025-09-04 03:17:00,13.2450,84.3500
2025-09-04 03:18:00,13.2200,84.0800
2025-09-04 03:19:00,13.2475,84.4050
2025-09-04 03:20:00,13.2475,84.0975
2025-09-04 03:21:00,13.2350,84.4300
2025-09-04 03:22:00,13.2375,84.5475
2025-09-04 03:23:00,13.2350,84.1525
2025-09-04 03:24:00,13.2375,84.2600
2025-09-04 03:25:00,13.2250,84.2275
2025-09-04 03:26:00,13.2125,84.7275
2025-09-04 03:27:00,13.2300,84.5425
2025-09-04 03:28:00,13.2125,84.3175
2025-09-04 03:29:00,13.2200,84.4050
2025-09-04 03:30:00,13.2350,84.4525
2025-09-04 03:31:00,13.2125,84.0025
2025-09-04 03:32:00,13.2250,84.4375
2025-09-04 03:33:00,13.2175,84.1425
2025-09-04 03:34:00,13.2400,84.7250
2025-09-04 03:35:00,13.2275,84.2875
2025-09-04 03:36:00,13.2475,84.6325
2025-09-04 03:37:00,13.2175,84.0800
2025-09-04 03:38:00,13.2375,84.8100
2025-09-04 03:39:00,13.2425,84.3200
2025-09-04 03:40:00,13.2375,84.5275
2025-09-04 03:41:00,13.2450,84.3775
2025-09-04 03:42:00,13.2325,84.5300
2025-09-04 03:43:00,13.2300,84.0950
2025-09-04 03:44:00,13.2325,84.2650
2025-09-04 03:45:00,13.2350,84.1175
2025-09-04 03:46:00,13.2025,84.5125
2025-09-04 03:47:00,13.2175,84.1500
2025-09-04 03:48:00,13.2350,84.4800
2025-09-04 03:49:00,13.2000,84.3575
2025-09-04 03:50:00,13.2125,84.4925
2025-09-04 03:51:00,13.2300,84.2850
2025-09-04 03:52:00,13.2300,84.1625
2025-09-04 03:53:00,13.1875,84.2850
2025-09-04 03:54:00,13.2250,84.4425
2025-09-04 03:55:00,13.2275,84.3575
2025-09-04 03:56:00,13.2425,84.4175
2025-09-04 03:57:00,13.2175,84.3975
2025-09-04 03:58:00,13.2375,84.2525
2025-09-04 03:59:00,13.2375,84.4550
2025-09-04 04:00:00,13.2325,84.1950
2025-09-04 04:01:00,13.2175,84.4800
2025-09-04 04:02:00,13.2475,84.3475
2025-09-04 04:03:00,13.2125,84.0700
2025-09-04 04:04:00,13.2100,83.9400
2025-09-04 04:05:00,13.2175,83.7775
2025-09-04 04:06:00,13.2075,84.1875
2025-09-04 04:07:00,13.2175,84.2750
2025-09-04 04:08:00,13.1975,84.5950
2025-09-04 04:09:00,13.2100,84.6900
2025-09-04 04:10:00,13.2175,84.3500
2025-09-04 04:11:00,13.2125,84.5550
2025-09-04 04:12:00,13.2175,84.2975
2025-09-04 04:13:00,13.2125,84.2125
2025-09-04 04:14:00,13.1925,84.4750
2025-09-04 04:15:00,13.2275,84.5975
2025-09-04 04:16:00,13.2325,84.4825
2025-09-04 04:17:00,13.2125,84.4650
2025-09-04 04:18:00,13.2375,84.1625
2025-09-04 04:19:00,13.2325,83.9850
2025-09-04 04:20:00,13.2200,84.3675
2025-09-04 04:21:00,13.2250,84.5225
2025-09-04 04:22:00,13.2050,84.3725
2025-09-04 04:23:00,13.2125,84.2975
2025-09-04 04:24:00,13.2375,84.7175
2025-09-04 04:25:00,13.2075,84.6475
2025-09-04 04:26:00,13.2075,84.4450
2025-09-04 04:27:00,13.2175,84.4050
2025-09-04 04:28:00,13.2250,84.6375
2025-09-04 04:29:00,13.2425,84.3725
2025-09-04 04:30:00,13.2350,84.0900
2025-09-04 04:31:00,13.2125,84.0775
2025-09-04 04:32:00,13.2075,84.2800
2025-09-04 04:33:00,13.2075,84.1075
2025-09-04 04:34:00,13.2075,84.2375
2025-09-04 04:35:00,13.2100,84.1400
