id	Experiment_Day	Temperature
MST60149	20.363900462962963	31.5
MST60149	20.370844907407406	31.5
MST60149	20.377789351851852	31.5
MST60149	20.384733796296295	32
MST60149	20.39167824074074	31.5
MST60149	20.398622685185185	32
MST60149	20.40556712962963	31.5
MST60149	20.412511574074074	32
MST60149	20.419456018518517	32.5
MST60149	20.426400462962963	32
MST60149	20.433344907407406	31.5
MST60149	20.440289351851852	31.5
MST60149	20.447233796296295	31.5
MST60149	20.45417824074074	31.5
MST60149	20.461122685185185	32
MST60149	20.46806712962963	31.5
MST60149	20.475011574074074	32
MST60149	20.481956018518517	32
MST60149	20.488900462962963	32
MST60149	20.495844907407406	32
MST60149	20.502789351851852	32
MST60149	20.509733796296295	32
MST60149	20.51667824074074	32
MST60149	20.523622685185185	31.5
MST60149	20.53056712962963	31.5
MST60149	20.537511574074074	31.5
MST60149	20.544456018518517	31
MST60149	20.551400462962963	31
MST60149	20.558344907407406	31
MST60149	20.565289351851852	30.5
MST60149	20.572233796296295	30.5
MST60149	20.57917824074074	29.5
MST60149	20.586122685185185	29.5
MST60149	20.59306712962963	29.5
MST60149	20.600011574074074	29
MST60149	20.606956018518517	29
MST60149	20.613900462962963	29
MST60149	20.620844907407406	28.5
MST60149	20.627789351851852	28.5
MST60149	20.634733796296295	28.5
MST60149	20.64167824074074	28.5
MST60149	20.648622685185185	29
MST60149	20.65556712962963	28.5
MST60149	20.662511574074074	28
MST60149	20.669456018518517	28
MST60149	20.676400462962963	28
MST60149	20.683344907407406	28.5
MST60149	20.690289351851852	28.5
MST60149	20.697233796296295	28.5
MST60149	20.70417824074074	28
MST60149	20.711122685185185	28
MST60149	20.71806712962963	28
MST60149	20.725011574074074	29
MST60149	20.731956018518517	30.5
MST60149	20.738900462962963	31.5
MST60149	20.745844907407406	32
MST60149	20.752789351851852	31.5
MST60149	20.759733796296295	31.5
MST60149	20.76667824074074	31.5
MST60149	20.773622685185185	31.5
MST60149	20.78056712962963	31.5
MST60149	20.787511574074074	31
MST60149	20.794456018518517	31
MST60149	20.801400462962963	31.5
MST60149	20.808344907407406	31.5
MST60149	20.815289351851852	31
MST60149	20.822233796296295	31
MST60149	20.82917824074074	31.5
MST60149	20.836122685185185	31.5
MST60149	20.84306712962963	31
MST60149	20.850011574074074	31
MST60149	20.856956018518517	31.5
MST60149	20.863900462962963	32
MST60149	20.870844907407406	32
MST60149	20.877789351851852	31.5
MST60149	20.884733796296295	31.5
MST60149	20.89167824074074	31.5
MST60149	20.898622685185185	30.5
MST60149	20.90556712962963	30
MST60149	20.912511574074074	31
MST60149	20.919456018518517	30.5
MST60149	20.926400462962963	29.5
MST60149	20.933344907407406	29
MST60149	20.940289351851852	28.5
MST60149	20.947233796296295	28
MST60149	20.95417824074074	27.5
MST60149	20.961122685185185	27.5
MST60149	20.96806712962963	27.5
MST60149	20.975011574074074	28
MST60149	20.981956018518517	28.5
MST60149	20.988900462962963	30
MST60149	20.995844907407406	30
MST60149	21.002789351851852	30.5
MST60149	21.009733796296295	31
MST60149	21.01667824074074	33
MST60149	21.023622685185185	32.5
MST60149	21.03056712962963	31.5
MST60149	21.037511574074074	31
MST60149	21.044456018518517	31.5
MST60149	21.051400462962963	32
MST60149	21.058344907407406	33
MST60149	21.065289351851852	31
MST60149	21.072233796296295	34.5
MST60149	21.07917824074074	33
MST60149	21.086122685185185	32.5
MST60149	21.09306712962963	32
MST60149	21.100011574074074	31.5
MST60149	21.106956018518517	31
MST60149	21.113900462962963	31.5
MST60149	21.120844907407406	30.5
MST60149	21.127789351851852	30.5
MST60149	21.134733796296295	30.5
MST60149	21.14167824074074	31
MST60149	21.148622685185185	30.5
MST60149	21.15556712962963	30.5
MST60149	21.162511574074074	30
MST60149	21.169456018518517	30.5
MST60149	21.176400462962963	30
MST60149	21.183344907407406	30
MST60149	21.190289351851852	30.5
MST60149	21.197233796296295	32
MST60149	21.20417824074074	31.5
MST60149	21.211122685185185	31.5
MST60149	21.21806712962963	31.5
MST60149	21.225011574074074	33
MST60149	21.231956018518517	32.5
MST60149	21.238900462962963	32
MST60149	21.245844907407406	32.5
MST60149	21.252789351851852	31.5
MST60149	21.259733796296295	31.5
MST60149	21.26667824074074	31.5
MST60149	21.273622685185185	31
MST60149	21.28056712962963	32
MST60149	21.287511574074074	31.5
MST60149	21.294456018518517	31.5
MST60149	21.301400462962963	32.5
MST60149	21.308344907407406	31.5
MST60149	21.315289351851852	32.5
MST60149	21.322233796296295	30.5
MST60149	21.32917824074074	31
MST60149	21.336122685185185	31
MST60149	21.34306712962963	34
MST60149	21.350011574074074	32
MST60149	21.356956018518517	32
MST60149	21.363900462962963	31
MST60149	21.370844907407406	31
MST60149	21.377789351851852	31.5
MST60149	21.384733796296295	31
MST60149	21.39167824074074	31
MST60149	21.398622685185185	31.5
MST60149	21.40556712962963	31.5
MST60149	21.412511574074074	31.5
MST60149	21.419456018518517	31.5
MST60149	21.426400462962963	31.5
MST60149	21.433344907407406	31
MST60149	21.440289351851852	31.5
MST60149	21.447233796296295	31.5
MST60149	21.45417824074074	33
MST60149	21.461122685185185	31
